Date,Category,Amount,Description
2024-09-29,Education,18.64,Workshop
2024-09-29,Healthcare,6.69,Health insurance
2024-09-29,Other,1.19,Beauty
2024-09-29,Transportation,5.2,Car wash
2024-09-30,Healthcare,9.17,Lab tests
2024-09-30,Shopping,13.81,Accessories
2024-09-30,Bills,31.23,Electricity
2024-09-30,Shopping,24.1,Clothing
2024-09-30,Entertainment,3.26,Gaming
2024-09-30,Food,7.31,Market shopping
2024-10-01,Bills,36.84,Insurance
2024-10-01,Healthcare,4.41,Doctor visit
2024-10-01,Food,12.44,Fruit stand
2024-10-02,Shopping,4.08,Tools
2024-10-02,Education,22.28,Tuition
2024-10-02,Shopping,7.6,Kitchenware
2024-10-03,Healthcare,16.84,First aid
2024-10-03,Education,9.24,Books
2024-10-03,Other,9.23,Repair
2024-10-03,Other,13.52,Miscellaneous
2024-10-03,Shopping,12.43,Kitchenware
2024-10-04,Other,14.95,Personal care
2024-10-04,Shopping,15.12,Accessories
2024-10-05,Transportation,5.91,Taxi ride
2024-10-05,Food,2.31,Lunch
2024-10-05,Entertainment,13.22,Theater show
2024-10-06,Transportation,9.84,Ride share
2024-10-07,Healthcare,17.47,Physical therapy
2024-10-07,Transportation,3.6,Taxi ride
2024-10-08,Food,7.73,Food delivery
2024-10-10,Education,23.04,Training
2024-10-10,Bills,11.88,Internet
2024-10-12,Education,16.03,Certification
2024-10-12,Entertainment,9.45,Gaming
2024-10-12,Healthcare,3.33,Eye exam
2024-10-12,Food,3.26,Street food
2024-10-14,Healthcare,5.76,Eye exam
2024-10-14,Other,3.28,Membership
2024-10-15,Food,13.24,Street food
2024-10-15,Food,11.64,Coffee shop
2024-10-15,Education,23.28,Supplies
2024-10-15,Entertainment,13.19,Movie tickets
2024-10-16,Transportation,10.39,Uber
2024-10-16,Shopping,13.2,Furniture
2024-10-16,Other,13.03,Donation
2024-10-17,Healthcare,5.85,Medicine
2024-10-18,Entertainment,12.1,Concert
2024-10-18,Education,26.63,Books
2024-10-19,Other,4.72,Pet supplies
2024-10-19,Education,7.36,Software license
2024-10-19,Food,14.73,Fast food
2024-10-20,Healthcare,19.77,Physical therapy
2024-10-20,Transportation,1.02,Bus fare
2024-10-20,Entertainment,8.9,Sports event
2024-10-20,Healthcare,12.2,Lab tests
2024-10-21,Transportation,8.34,Parking fee
2024-10-21,Other,7.3,Membership
2024-10-23,Transportation,8.16,Taxi ride
2024-10-23,Food,13.98,Fruit stand
2024-10-23,Education,14.14,Tuition
2024-10-23,Entertainment,12.18,Movie tickets
2024-10-23,Food,15.27,Market shopping
2024-10-24,Food,1.28,Street food
2024-10-24,Entertainment,9.87,Gaming
2024-10-24,Shopping,7.78,Accessories
2024-10-25,Shopping,4.49,Tools
2024-10-25,Education,6.62,Books
2024-10-26,Other,3.01,Miscellaneous
2024-10-26,Bills,25.27,Internet
2024-10-26,Bills,20.55,Insurance
2024-10-27,Entertainment,8.69,Arcade
2024-10-27,Food,4.67,Market shopping
2024-10-27,Transportation,4.47,Uber
2024-10-28,Transportation,8.6,Uber
2024-10-28,Food,8.86,Street food
2024-10-28,Healthcare,19.0,Pharmacy
2024-10-29,Bills,20.76,Electricity
2024-10-29,Education,8.38,Tuition
2024-10-30,Entertainment,12.47,Arcade
2024-10-30,Healthcare,13.15,Vitamins
2024-10-30,Transportation,8.29,Taxi ride
2024-10-31,Healthcare,14.32,Medicine
2024-10-31,Transportation,9.74,Ride share
2024-11-01,Food,10.43,Market shopping
2024-11-01,Shopping,25.04,Decorations
2024-11-01,Education,4.77,Tuition
2024-11-02,Healthcare,21.1,Eye exam
2024-11-02,Healthcare,15.34,Pharmacy
2024-11-02,Healthcare,15.31,Vitamins
2024-11-03,Food,14.61,Fast food
2024-11-04,Healthcare,7.13,Health insurance
2024-11-05,Transportation,2.64,Metro card
2024-11-06,Entertainment,11.19,Concert
2024-11-07,Healthcare,7.32,Doctor visit
2024-11-07,Other,10.72,Hobby materials
2024-11-07,Healthcare,14.6,Dental checkup
2024-11-07,Education,6.17,Workshop
2024-11-07,Education,21.24,Online course
2024-11-07,Education,22.33,Study materials
2024-11-07,Healthcare,13.99,Dental checkup
2024-11-08,Other,10.04,Beauty
2024-11-08,Transportation,9.02,Gas/Fuel
2024-11-09,Transportation,7.86,Metro card
2024-11-10,Entertainment,13.83,Gaming
2024-11-10,Transportation,9.35,Ride share
2024-11-11,Entertainment,5.19,Sports event
2024-11-12,Transportation,2.96,Parking fee
2024-11-12,Education,26.94,Study materials
2024-11-14,Entertainment,12.24,Movie tickets
2024-11-15,Healthcare,18.51,Medicine
2024-11-15,Education,4.64,Books
2024-11-16,Shopping,8.7,Tools
2024-11-17,Education,15.26,Tuition
2024-11-18,Bills,34.42,Gas bill
2024-11-18,Entertainment,9.62,Gaming
2024-11-18,Education,25.03,Workshop
2024-11-19,Education,16.43,Books
2024-11-19,Bills,53.49,Phone bill
2024-11-19,Transportation,6.51,Gas/Fuel
2024-11-20,Entertainment,12.31,Museum
2024-11-20,Food,13.01,Grocery shopping
2024-11-20,Healthcare,14.53,Dental checkup
2024-11-21,Shopping,6.09,Furniture
2024-11-22,Transportation,2.66,Gas/Fuel
2024-11-23,Education,29.19,Workshop
2024-11-23,Shopping,22.42,Accessories
2024-11-24,Healthcare,16.79,Physical therapy
2024-11-24,Education,15.01,Study materials
2024-11-24,Food,6.55,Dinner out
2024-11-24,Education,13.45,Tuition
2024-11-26,Bills,50.63,Electricity
2024-11-26,Food,15.06,Restaurant meal
2024-11-26,Bills,18.14,Trash service
2024-11-27,Shopping,15.89,Tools
2024-11-28,Education,25.43,Books
2024-11-28,Shopping,12.08,Bedding
2024-11-30,Entertainment,11.64,Arcade
2024-11-30,Other,10.17,Subscription
2024-11-30,Healthcare,7.42,Medicine
2024-11-30,Other,5.63,Repair
2024-12-01,Other,1.65,Donation
2024-12-01,Shopping,10.32,Kitchenware
2024-12-02,Education,10.83,Seminar
2024-12-02,Other,16.37,Donation
2024-12-03,Entertainment,5.64,Music subscription
2024-12-03,Other,15.17,Membership
2024-12-04,Other,2.77,Pet supplies
2024-12-04,Healthcare,15.45,Eye exam
2024-12-04,Transportation,6.55,Bus fare
2024-12-05,Entertainment,5.83,Museum
2024-12-05,Food,2.61,Butcher shop
2024-12-05,Education,12.19,Study materials
2024-12-05,Other,2.53,Repair
2024-12-06,Transportation,10.56,Taxi ride
2024-12-06,Healthcare,7.39,Medicine
2024-12-08,Education,8.02,Software license
2024-12-09,Entertainment,12.59,Streaming service
2024-12-10,Entertainment,3.73,Concert
2024-12-11,Bills,27.97,Internet
2024-12-11,Shopping,18.5,Shoes
2024-12-11,Other,16.51,Repair
2024-12-12,Other,14.87,Miscellaneous
2024-12-12,Entertainment,4.95,Museum
2024-12-12,Transportation,5.9,Uber
2024-12-13,Food,8.22,Bakery items
2024-12-14,Transportation,8.92,Metro card
2024-12-15,Healthcare,15.65,Vitamins
2024-12-16,Education,19.38,Books
2024-12-17,Entertainment,8.0,Concert
2024-12-18,Education,3.94,Workshop
2024-12-18,Other,13.57,Subscription
2024-12-18,Healthcare,16.72,Eye exam
2024-12-18,Entertainment,9.8,Theater show
2024-12-19,Food,12.84,Seafood
2024-12-19,Healthcare,2.32,Dental checkup
2024-12-19,Transportation,3.76,Gas/Fuel
2024-12-19,Bills,48.76,Trash service
2024-12-19,Food,13.87,Dinner out
2024-12-19,Healthcare,20.0,Physical therapy
2024-12-20,Education,18.26,Books
2024-12-21,Bills,23.66,Electricity
2024-12-22,Entertainment,10.78,Gaming
2024-12-22,Education,9.99,Supplies
2024-12-22,Healthcare,6.32,First aid
2024-12-22,Other,14.17,Miscellaneous
2024-12-24,Education,26.48,Books
2024-12-24,Food,3.23,Dinner out
2024-12-24,Education,12.89,Training
2024-12-25,Entertainment,2.47,Gaming
2024-12-25,Healthcare,15.5,Dental checkup
2024-12-27,Shopping,22.0,Clothing
2024-12-27,Food,10.4,Restaurant meal
2024-12-28,Shopping,21.65,Clothing
2024-12-28,Shopping,10.25,Clothing
2024-12-28,Shopping,7.46,Clothing
2024-12-28,Entertainment,4.25,Sports event
2024-12-29,Shopping,9.21,Kitchenware
2024-12-29,Other,14.6,Pet supplies
2024-12-30,Food,7.03,Coffee shop
2024-12-30,Bills,38.86,Phone bill
2024-12-31,Education,23.57,Software license
2024-12-31,Healthcare,11.63,Eye exam
2024-12-31,Transportation,7.16,Toll road
2024-12-31,Shopping,12.08,Kitchenware
2025-01-01,Bills,37.47,Internet
2025-01-01,Food,2.72,Snacks
2025-01-02,Food,1.07,Seafood
2025-01-02,Bills,35.64,Water bill
2025-01-02,Other,11.04,Gift
2025-01-02,Food,1.98,Grocery shopping
2025-01-02,Healthcare,12.95,Medicine
2025-01-03,Entertainment,2.95,Music subscription
2025-01-03,Healthcare,10.79,Eye exam
2025-01-03,Food,10.75,Fruit stand
2025-01-04,Bills,42.59,Insurance
2025-01-04,Transportation,1.44,Toll road
2025-01-04,Food,9.72,Butcher shop
2025-01-05,Food,10.32,Breakfast cafe
2025-01-06,Education,7.12,Tuition
2025-01-07,Shopping,18.76,Shoes
2025-01-07,Bills,16.07,Gas bill
2025-01-07,Education,19.92,Study materials
2025-01-07,Healthcare,12.49,Physical therapy
2025-01-07,Education,16.89,Training
2025-01-08,Food,10.36,Restaurant meal
2025-01-08,Transportation,2.96,Uber
2025-01-09,Entertainment,9.71,Movie tickets
2025-01-09,Shopping,6.8,Home items
2025-01-09,Food,1.5,Bakery items
2025-01-09,Other,1.74,Repair
2025-01-09,Transportation,8.17,Gas/Fuel
2025-01-10,Transportation,6.36,Gas/Fuel
2025-01-12,Other,13.42,Pet supplies
2025-01-12,Entertainment,1.97,Theater show
2025-01-13,Entertainment,2.54,Movie tickets
2025-01-13,Bills,16.01,Insurance
2025-01-13,Education,19.48,Seminar
2025-01-14,Other,14.21,Membership
2025-01-15,Food,8.18,Breakfast cafe
2025-01-15,Education,17.34,Seminar
2025-01-15,Food,9.07,Street food
2025-01-16,Other,7.45,Subscription
2025-01-17,Transportation,5.58,Gas/Fuel
2025-01-17,Healthcare,10.7,Physical therapy
2025-01-17,Food,10.71,Seafood
2025-01-18,Other,6.43,Hobby materials
2025-01-18,Education,5.83,Books
2025-01-18,Shopping,11.16,Accessories
2025-01-19,Entertainment,11.76,Streaming service
2025-01-19,Healthcare,13.59,Doctor visit
2025-01-19,Education,22.44,Tuition
2025-01-19,Other,8.05,Personal care
2025-01-20,Shopping,11.76,Electronics
2025-01-21,Food,11.31,Lunch
2025-01-21,Transportation,4.43,Gas/Fuel
2025-01-22,Bills,33.83,HOA fee
2025-01-22,Shopping,13.57,Bedding
2025-01-22,Shopping,6.24,Furniture
2025-01-23,Healthcare,10.88,Lab tests
2025-01-23,Transportation,5.44,Ride share
2025-01-23,Bills,13.13,Insurance
2025-01-24,Shopping,7.79,Tools
2025-01-24,Shopping,19.3,Electronics
2025-01-25,Transportation,1.82,Ride share
2025-01-25,Food,8.58,Food delivery
2025-01-25,Healthcare,16.33,Lab tests
2025-01-25,Shopping,15.69,Decorations
2025-01-25,Food,2.03,Seafood
2025-01-25,Healthcare,13.29,Vitamins
2025-01-26,Shopping,13.25,Home items
2025-01-26,Healthcare,9.18,First aid
2025-01-27,Shopping,11.52,Bedding
2025-01-28,Other,5.6,Subscription
2025-01-28,Other,11.94,Gift
2025-01-30,Bills,36.64,Water bill
2025-01-31,Shopping,22.92,Kitchenware
2025-02-01,Shopping,13.22,Bedding
2025-02-01,Education,32.15,Certification
2025-02-01,Education,20.88,Tuition
2025-02-01,Healthcare,4.74,Lab tests
2025-02-01,Transportation,7.87,Taxi ride
2025-02-02,Other,16.62,Repair
2025-02-02,Transportation,6.21,Vehicle maintenance
2025-02-02,Education,33.68,Training
2025-02-03,Bills,35.25,Phone bill
2025-02-03,Shopping,27.72,Electronics
2025-02-05,Other,3.39,Beauty
2025-02-05,Education,12.36,Online course
2025-02-06,Other,9.88,Miscellaneous
2025-02-06,Entertainment,14.54,Music subscription
2025-02-06,Shopping,10.64,Clothing
2025-02-07,Healthcare,10.57,Medicine
2025-02-07,Bills,50.08,Insurance
2025-02-07,Bills,12.38,Insurance
2025-02-10,Healthcare,6.18,Pharmacy
2025-02-10,Bills,35.42,Cable TV
2025-02-10,Food,16.41,Lunch
2025-02-11,Bills,32.32,Trash service
2025-02-11,Healthcare,15.91,First aid
2025-02-12,Education,13.17,Supplies
2025-02-12,Food,16.35,Breakfast cafe
2025-02-13,Transportation,7.54,Bus fare
2025-02-13,Bills,57.86,Water bill
2025-02-14,Transportation,4.04,Metro card
2025-02-14,Transportation,11.09,Parking fee
2025-02-15,Entertainment,15.63,Movie tickets
2025-02-15,Healthcare,8.61,Physical therapy
2025-02-17,Food,5.1,Snacks
2025-02-17,Other,10.56,Personal care
2025-02-18,Education,32.29,Software license
2025-02-18,Shopping,28.0,Decorations
2025-02-18,Transportation,2.5,Gas/Fuel
2025-02-19,Food,18.48,Restaurant meal
2025-02-20,Other,5.06,Hobby materials
2025-02-20,Education,21.14,Training
2025-02-21,Education,15.41,Certification
2025-02-22,Transportation,6.62,Ride share
2025-02-22,Bills,49.71,Insurance
2025-02-22,Entertainment,9.0,Gaming
2025-02-22,Education,9.43,Workshop
2025-02-23,Bills,32.56,Phone bill
2025-02-25,Bills,47.1,Cable TV
2025-02-25,Healthcare,21.19,Vitamins
2025-02-26,Shopping,18.07,Accessories
2025-02-26,Education,17.84,Software license
2025-02-26,Bills,30.25,Phone bill
2025-02-26,Bills,28.63,Gas bill
2025-03-01,Other,7.23,Subscription
2025-03-02,Healthcare,4.49,Physical therapy
2025-03-02,Other,11.95,Pet supplies
2025-03-02,Healthcare,21.84,Medicine
2025-03-02,Other,18.92,Repair
2025-03-03,Healthcare,14.52,First aid
2025-03-03,Bills,16.09,Rent
2025-03-03,Entertainment,4.18,Music subscription
2025-03-03,Education,24.7,Seminar
2025-03-04,Other,9.2,Hobby materials
2025-03-04,Bills,48.36,Gas bill
2025-03-05,Entertainment,13.66,Concert
2025-03-05,Food,6.73,Food delivery
2025-03-05,Food,9.12,Restaurant meal
2025-03-05,Shopping,25.33,Tools
2025-03-05,Transportation,5.28,Bus fare
2025-03-05,Entertainment,6.46,Sports event
2025-03-05,Bills,16.62,Trash service
2025-03-07,Bills,39.74,Gas bill
2025-03-10,Entertainment,16.22,Museum
2025-03-10,Other,20.48,Gift
2025-03-10,Education,22.4,Tuition
2025-03-11,Entertainment,9.87,Theater show
2025-03-11,Transportation,3.89,Metro card
2025-03-11,Food,18.64,Fast food
2025-03-13,Education,29.95,Tuition
2025-03-13,Transportation,3.5,Taxi ride
2025-03-14,Healthcare,3.89,Lab tests
2025-03-14,Transportation,7.13,Toll road
2025-03-15,Bills,26.86,Insurance
2025-03-15,Education,32.92,Training
2025-03-15,Education,12.08,Study materials
2025-03-16,Food,15.71,Fruit stand
2025-03-16,Other,11.3,Repair
2025-03-18,Shopping,24.5,Accessories
2025-03-19,Education,14.21,Workshop
2025-03-20,Entertainment,8.83,Theater show
2025-03-20,Other,2.1,Donation
2025-03-21,Bills,60.48,HOA fee
2025-03-21,Transportation,6.04,Bus fare
2025-03-21,Education,16.01,Workshop
2025-03-22,Education,13.85,Study materials
2025-03-24,Other,13.09,Donation
2025-03-26,Shopping,14.76,Bedding
2025-03-27,Bills,16.39,Electricity
2025-03-27,Transportation,2.61,Parking fee
2025-03-27,Bills,17.45,Water bill
2025-03-28,Education,33.5,Tuition
2025-03-29,Food,5.04,Fruit stand
2025-03-29,Other,14.95,Beauty
2025-03-30,Education,7.82,Training
2025-04-01,Shopping,30.53,Bedding
2025-04-01,Healthcare,20.33,Pharmacy
2025-04-02,Entertainment,7.03,Movie tickets
2025-04-02,Transportation,6.86,Metro card
2025-04-02,Entertainment,11.61,Arcade
2025-04-02,Education,28.14,Seminar
2025-04-03,Food,16.09,Street food
2025-04-03,Shopping,29.57,Bedding
2025-04-03,Food,8.6,Market shopping
2025-04-04,Transportation,2.97,Ride share
2025-04-04,Healthcare,28.22,Doctor visit
2025-04-04,Shopping,39.36,Electronics
2025-04-05,Bills,52.52,Phone bill
2025-04-05,Healthcare,12.89,Lab tests
2025-04-05,Shopping,31.12,Clothing
2025-04-05,Healthcare,5.96,Pharmacy
2025-04-05,Shopping,11.42,Shoes
2025-04-06,Education,26.17,Online course
2025-04-06,Other,2.75,Repair
2025-04-06,Education,22.3,Certification
2025-04-06,Entertainment,5.78,Concert
2025-04-06,Education,11.14,Books
2025-04-10,Shopping,37.09,Clothing
2025-04-10,Food,5.66,Seafood
2025-04-11,Entertainment,6.1,Arcade
2025-04-12,Healthcare,27.69,Eye exam
2025-04-12,Other,19.31,Gift
2025-04-12,Transportation,10.78,Parking fee
2025-04-12,Healthcare,29.63,Lab tests
2025-04-12,Other,4.67,Donation
2025-04-13,Transportation,1.94,Taxi ride
2025-04-13,Transportation,1.85,Taxi ride
2025-04-14,Education,12.23,Books
2025-04-14,Transportation,10.95,Taxi ride
2025-04-15,Entertainment,3.95,Gaming
2025-04-15,Food,7.06,Breakfast cafe
2025-04-17,Food,6.05,Dinner out
2025-04-17,Entertainment,8.91,Movie tickets
2025-04-18,Entertainment,6.51,Gaming
2025-04-19,Entertainment,8.29,Theater show
2025-04-22,Bills,55.54,Trash service
2025-04-23,Other,19.87,Donation
2025-04-23,Food,18.17,Restaurant meal
2025-04-24,Food,18.9,Coffee shop
2025-04-24,Shopping,12.8,Tools
2025-04-25,Bills,21.76,Internet
2025-04-25,Entertainment,12.0,Gaming
2025-04-27,Education,26.22,Supplies
2025-04-27,Entertainment,3.55,Arcade
2025-04-27,Shopping,26.11,Decorations
2025-04-28,Healthcare,14.95,Health insurance
2025-04-28,Other,3.39,Pet supplies
2025-04-29,Other,15.99,Repair
2025-04-30,Education,14.07,Books
2025-04-30,Food,7.49,Grocery shopping
2025-04-30,Education,29.4,Training
2025-04-30,Food,14.66,Restaurant meal
2025-05-02,Entertainment,8.43,Concert
2025-05-03,Entertainment,17.82,Museum
2025-05-03,Healthcare,25.08,First aid
2025-05-03,Entertainment,2.71,Streaming service
2025-05-03,Education,33.09,Study materials
2025-05-04,Transportation,11.73,Toll road
2025-05-05,Bills,22.83,Gas bill
2025-05-05,Shopping,10.01,Accessories
2025-05-06,Entertainment,12.7,Museum
2025-05-06,Healthcare,20.12,Doctor visit
2025-05-07,Entertainment,7.03,Museum
2025-05-08,Bills,34.38,HOA fee
2025-05-09,Shopping,13.96,Kitchenware
2025-05-09,Bills,58.12,HOA fee
2025-05-10,Other,16.91,Miscellaneous
2025-05-11,Shopping,35.63,Shoes
2025-05-12,Education,37.45,Seminar
2025-05-12,Entertainment,18.77,Movie tickets
2025-05-12,Transportation,6.0,Ride share
2025-05-14,Food,14.98,Food delivery
2025-05-15,Healthcare,22.78,Pharmacy
2025-05-15,Bills,34.05,Gas bill
2025-05-15,Other,9.92,Beauty
2025-05-16,Food,14.29,Food delivery
2025-05-17,Food,9.27,Grocery shopping
2025-05-17,Shopping,29.43,Kitchenware
2025-05-18,Entertainment,5.18,Bowling
2025-05-18,Education,8.92,Workshop
2025-05-19,Transportation,6.24,Metro card
2025-05-19,Healthcare,26.49,Medicine
2025-05-21,Transportation,12.43,Taxi ride
2025-05-22,Food,8.73,Coffee shop
2025-05-22,Healthcare,13.03,Doctor visit
2025-05-22,Shopping,34.89,Accessories
2025-05-22,Healthcare,27.1,Dental checkup
2025-05-23,Food,1.97,Bakery items
2025-05-23,Other,1.5,Donation
2025-05-25,Entertainment,9.24,Streaming service
2025-05-26,Other,14.63,Repair
2025-05-26,Transportation,14.22,Taxi ride
2025-05-28,Bills,65.91,Cable TV
2025-05-28,Food,3.68,Bakery items
2025-05-29,Entertainment,18.5,Arcade
2025-05-29,Food,8.63,Food delivery
2025-05-29,Healthcare,9.72,Doctor visit
2025-05-29,Transportation,6.32,Bus fare
2025-05-29,Bills,20.77,Trash service
2025-05-29,Other,11.55,Personal care
2025-05-30,Entertainment,13.23,Gaming
2025-05-31,Shopping,22.24,Electronics
2025-06-01,Other,14.37,Donation
2025-06-01,Healthcare,12.5,Medicine
2025-06-01,Education,19.23,Study materials
2025-06-01,Shopping,22.13,Electronics
2025-06-01,Healthcare,9.68,Lab tests
2025-06-02,Healthcare,12.13,Dental checkup
2025-06-02,Healthcare,21.07,Medicine
2025-06-02,Other,4.17,Subscription
2025-06-03,Other,10.03,Repair
2025-06-03,Other,17.72,Personal care
2025-06-04,Entertainment,12.38,Movie tickets
2025-06-05,Education,9.71,Study materials
2025-06-05,Transportation,13.29,Uber
2025-06-07,Transportation,11.63,Ride share
2025-06-08,Healthcare,13.19,Eye exam
2025-06-08,Transportation,10.52,Taxi ride
2025-06-08,Bills,54.55,Electricity
2025-06-08,Healthcare,8.2,Vitamins
2025-06-09,Healthcare,20.13,Pharmacy
2025-06-09,Healthcare,6.17,Doctor visit
2025-06-10,Other,21.73,Beauty
2025-06-10,Food,5.46,Fast food
2025-06-11,Education,16.25,Certification
2025-06-11,Other,12.91,Subscription
2025-06-11,Other,22.89,Beauty
2025-06-11,Shopping,9.58,Kitchenware
2025-06-13,Food,7.18,Lunch
2025-06-14,Education,7.05,Seminar
2025-06-14,Education,23.91,Workshop
2025-06-14,Food,10.87,Street food
2025-06-14,Food,12.92,Market shopping
2025-06-16,Other,20.11,Beauty
2025-06-16,Shopping,6.22,Clothing
2025-06-17,Education,10.3,Seminar
2025-06-18,Food,19.37,Bakery items
2025-06-18,Shopping,19.13,Accessories
2025-06-20,Entertainment,18.47,Bowling
2025-06-20,Food,19.03,Lunch
2025-06-22,Healthcare,11.16,Health insurance
2025-06-22,Bills,14.5,Internet
2025-06-23,Entertainment,6.94,Bowling
2025-06-23,Bills,27.03,Insurance
2025-06-24,Shopping,38.67,Clothing
2025-06-25,Transportation,9.3,Parking fee
2025-06-26,Bills,53.54,Cable TV
2025-06-26,Transportation,11.7,Taxi ride
2025-06-27,Education,30.04,Workshop
2025-06-27,Transportation,8.93,Vehicle maintenance
2025-06-28,Other,17.24,Donation
2025-06-28,Other,22.52,Beauty
2025-06-30,Education,6.5,Books
2025-07-02,Healthcare,3.82,Vitamins
2025-07-02,Other,5.75,Membership
2025-07-03,Transportation,14.41,Taxi ride
2025-07-04,Shopping,43.0,Kitchenware
2025-07-05,Transportation,18.35,Gas/Fuel
2025-07-05,Entertainment,16.89,Gaming
2025-07-05,Shopping,10.77,Kitchenware
2025-07-06,Transportation,13.96,Parking fee
2025-07-06,Shopping,20.77,Accessories
2025-07-06,Food,15.69,Fruit stand
2025-07-08,Transportation,8.0,Vehicle maintenance
2025-07-09,Other,8.68,Pet supplies
2025-07-09,Shopping,32.87,Home items
2025-07-10,Food,27.9,Grocery shopping
2025-07-10,Healthcare,3.48,Eye exam
2025-07-10,Other,13.56,Hobby materials
2025-07-12,Healthcare,28.66,Physical therapy
2025-07-12,Food,23.42,Grocery shopping
2025-07-12,Other,10.86,Membership
2025-07-14,Other,15.39,Pet supplies
2025-07-15,Healthcare,11.74,Dental checkup
2025-07-16,Food,8.35,Fruit stand
2025-07-17,Education,34.73,Certification
2025-07-17,Healthcare,25.52,Vitamins
2025-07-17,Transportation,15.24,Toll road
2025-07-18,Entertainment,4.93,Museum
2025-07-19,Transportation,4.77,Parking fee
2025-07-19,Shopping,24.3,Kitchenware
2025-07-20,Education,9.8,Software license
2025-07-20,Transportation,17.11,Parking fee
2025-07-21,Shopping,19.18,Accessories
2025-07-21,Other,2.7,Pet supplies
2025-07-22,Transportation,2.3,Parking fee
2025-07-23,Education,49.09,Supplies
2025-07-23,Other,12.01,Hobby materials
2025-07-23,Shopping,37.9,Decorations
2025-07-23,Entertainment,15.86,Music subscription
2025-07-24,Bills,75.68,Trash service
2025-07-24,Food,23.79,Snacks
2025-07-25,Bills,35.21,Water bill
2025-07-26,Entertainment,19.17,Streaming service
2025-07-26,Shopping,7.27,Shoes
2025-07-27,Healthcare,11.34,Eye exam
2025-07-27,Other,20.13,Personal care
2025-07-27,Healthcare,31.64,Eye exam
2025-07-28,Food,13.67,Restaurant meal
2025-07-28,Other,29.55,Personal care
2025-07-29,Education,25.9,Certification
2025-07-29,Healthcare,24.13,Eye exam
2025-07-30,Other,11.87,Personal care
2025-07-30,Healthcare,10.14,Doctor visit
2025-08-01,Education,22.63,Software license
2025-08-01,Transportation,12.13,Car wash
2025-08-02,Transportation,10.67,Car wash
2025-08-02,Education,22.83,Certification
2025-08-02,Entertainment,12.7,Theater show
2025-08-04,Food,15.12,Dinner out
2025-08-05,Education,30.22,Supplies
2025-08-05,Transportation,9.23,Uber
2025-08-06,Entertainment,2.39,Concert
2025-08-07,Education,9.41,Books
2025-08-07,Education,24.91,Study materials
2025-08-08,Education,16.0,Seminar
2025-08-08,Education,28.76,Training
2025-08-09,Other,5.05,Membership
2025-08-10,Other,2.58,Donation
2025-08-10,Bills,48.64,Phone bill
2025-08-11,Bills,13.56,Cable TV
2025-08-11,Healthcare,24.0,Eye exam
2025-08-12,Other,8.33,Hobby materials
2025-08-13,Entertainment,15.89,Bowling
2025-08-13,Education,31.11,Supplies
2025-08-13,Healthcare,22.12,Lab tests
2025-08-14,Entertainment,11.43,Bowling
2025-08-14,Other,16.07,Miscellaneous
2025-08-14,Entertainment,5.41,Theater show
2025-08-14,Shopping,25.41,Kitchenware
2025-08-15,Food,3.07,Lunch
2025-08-16,Food,8.03,Market shopping
2025-08-16,Transportation,2.14,Ride share
2025-08-16,Entertainment,15.97,Streaming service
2025-08-17,Shopping,17.28,Clothing
2025-08-17,Transportation,2.68,Parking fee
2025-08-18,Transportation,11.37,Gas/Fuel
2025-08-19,Other,9.42,Gift
2025-08-20,Education,26.82,Software license
2025-08-20,Food,13.98,Snacks
2025-08-21,Shopping,13.59,Decorations
2025-08-22,Bills,61.54,HOA fee
2025-08-23,Healthcare,19.48,Vitamins
2025-08-24,Other,16.69,Donation
2025-08-25,Other,8.51,Membership
2025-08-26,Food,16.83,Fruit stand
2025-08-26,Food,16.42,Grocery shopping
2025-08-26,Transportation,6.65,Uber
2025-08-27,Food,7.44,Breakfast cafe
2025-08-28,Transportation,4.27,Metro card
2025-08-29,Shopping,6.14,Accessories
2025-08-29,Other,5.32,Repair
2025-08-29,Entertainment,10.95,Gaming
2025-08-29,Other,8.6,Miscellaneous
2025-08-29,Other,18.91,Gift
2025-08-30,Other,15.59,Donation
2025-08-30,Transportation,1.46,Parking fee
2025-08-31,Shopping,30.63,Accessories
2025-09-01,Bills,16.57,Trash service
2025-09-01,Entertainment,10.15,Gaming
2025-09-02,Healthcare,8.49,Dental checkup
2025-09-02,Bills,48.86,Internet
2025-09-03,Healthcare,11.7,First aid
2025-09-03,Entertainment,11.13,Bowling
2025-09-03,Shopping,27.58,Shoes
2025-09-03,Other,9.25,Membership
2025-09-03,Education,26.12,Tuition
2025-09-04,Other,9.88,Gift
2025-09-05,Healthcare,10.42,Doctor visit
2025-09-05,Other,18.08,Repair
2025-09-06,Food,16.06,Market shopping
2025-09-06,Entertainment,4.29,Gaming
2025-09-08,Transportation,8.83,Uber
2025-09-08,Transportation,1.46,Vehicle maintenance
2025-09-09,Food,10.43,Bakery items
2025-09-09,Shopping,28.95,Clothing
2025-09-09,Entertainment,12.84,Sports event
2025-09-09,Bills,33.05,Rent
2025-09-10,Education,27.44,Training
2025-09-11,Bills,54.61,Electricity
2025-09-11,Healthcare,6.83,Physical therapy
2025-09-12,Food,11.1,Bakery items
2025-09-12,Transportation,5.72,Parking fee
2025-09-12,Education,20.11,Software license
2025-09-13,Other,3.35,Repair
2025-09-13,Education,21.17,Online course
2025-09-14,Entertainment,8.5,Bowling
2025-09-14,Bills,9.77,Trash service
2025-09-15,Other,4.09,Beauty
